Asset_Prices,C|S|4900|60|1,P|L|4900|60|1,C|L|5000|60|2,P|S|5000|60|2,P|L|5300|60|1,C|L|5300|60|1
5307.95,-407.95,0.00,615.91,-0.00,0.00,7.95
5454.93,-554.93,0.00,909.86,-0.00,0.00,154.93
4963.54,-63.54,0.00,0.00,-72.92,336.46,0.00
4783.57,-0.00,116.43,0.00,-432.85,516.43,0.00
5717.13,-817.13,0.00,1434.27,-0.00,0.00,417.13
4691.68,-0.00,208.32,0.00,-616.64,608.32,0.00
5598.44,-698.44,0.00,1196.89,-0.00,0.00,298.44
4584.43,-0.00,315.57,0.00,-831.15,715.57,0.00
5169.54,-269.54,0.00,339.09,-0.00,130.46,0.00
4991.54,-91.54,0.00,0.00,-16.93,308.46,0.00
4852.37,-0.00,47.63,0.00,-295.27,447.63,0.00
4350.41,-0.00,549.59,0.00,-1299.18,949.59,0.00
5474.55,-574.55,0.00,949.11,-0.00,0.00,174.55
4920.46,-20.46,0.00,0.00,-159.08,379.54,0.00
4933.26,-33.26,0.00,0.00,-133.49,366.74,0.00
5472.57,-572.57,0.00,945.13,-0.00,0.00,172.57
5088.35,-188.35,0.00,176.71,-0.00,211.65,0.00
4817.06,-0.00,82.94,0.00,-365.88,482.94,0.00
4523.68,-0.00,376.32,0.00,-952.63,776.32,0.00
5359.45,-459.45,0.00,718.89,-0.00,0.00,59.45
5232.90,-332.90,0.00,465.81,-0.00,67.10,0.00
5084.79,-184.79,0.00,169.58,-0.00,215.21,0.00
5416.64,-516.64,0.00,833.28,-0.00,0.00,116.64
5199.53,-299.53,0.00,399.06,-0.00,100.47,0.00
5352.05,-452.05,0.00,704.10,-0.00,0.00,52.05
4922.66,-22.66,0.00,0.00,-154.67,377.34,0.00
5100.18,-200.18,0.00,200.36,-0.00,199.82,0.00
5344.67,-444.67,0.00,689.34,-0.00,0.00,44.67
4680.81,-0.00,219.19,0.00,-638.38,619.19,0.00
5106.81,-206.81,0.00,213.62,-0.00,193.19,0.00
5022.08,-122.08,0.00,44.17,-0.00,277.92,0.00
5355.95,-455.95,0.00,711.90,-0.00,0.00,55.95
4996.38,-96.38,0.00,0.00,-7.24,303.62,0.00
5175.80,-275.80,0.00,351.61,-0.00,124.20,0.00
4555.71,-0.00,344.29,0.00,-888.58,744.29,0.00
5261.00,-361.00,0.00,522.01,-0.00,39.00,0.00
5271.43,-371.43,0.00,542.85,-0.00,28.57,0.00
5143.91,-243.91,0.00,287.82,-0.00,156.09,0.00
4881.73,-0.00,18.27,0.00,-236.54,418.27,0.00
4469.63,-0.00,430.37,0.00,-1060.73,830.37,0.00
4972.03,-72.03,0.00,0.00,-55.94,327.97,0.00
5471.34,-571.34,0.00,942.68,-0.00,0.00,171.34
5021.10,-121.10,0.00,42.19,-0.00,278.90,0.00
4519.24,-0.00,380.76,0.00,-961.53,780.76,0.00
4484.93,-0.00,415.07,0.00,-1030.13,815.07,0.00
5267.69,-367.69,0.00,535.38,-0.00,32.31,0.00
5256.09,-356.09,0.00,512.19,-0.00,43.91,0.00
5164.29,-264.29,0.00,328.58,-0.00,135.71,0.00
4651.37,-0.00,248.63,0.00,-697.26,648.63,0.00
4345.99,-0.00,554.01,0.00,-1308.02,954.01,0.00
4696.96,-0.00,203.04,0.00,-606.07,603.04,0.00
4692.92,-0.00,207.08,0.00,-614.15,607.08,0.00
4733.68,-0.00,166.32,0.00,-532.64,566.32,0.00
